Latitude,Longitude,Anomaly
72.5,-117.5,5.28
72.5,-112.5,5.58
72.5,-107.5,6.16
72.5,-102.5,6.77
72.5,-97.5,6.07
72.5,-92.5,5.64
72.5,-87.5,6.91
72.5,-82.5,6.5
72.5,-77.5,6.51
72.5,-72.5,5.89
72.5,-67.5,5.73
72.5,-62.5,3.13
72.5,-57.5,2.98
72.5,-52.5,2.26
72.5,-47.5,3
72.5,-42.5,3.04
72.5,-37.5,3.33
72.5,-32.5,2.69
72.5,-27.5,2.55
72.5,-22.5,3.17
72.5,-17.5,-0.01
72.5,-12.5,-2.11
72.5,-7.5,-1.75
72.5,-2.5,-0.81
67.5,2.5,0.55
67.5,7.5,-0.31
67.5,12.5,-1.37
67.5,17.5,-0.97
67.5,22.5,1.34
67.5,27.5,-1.22
67.5,32.5,-0.77
67.5,37.5,-0.26
67.5,42.5,1.68
67.5,47.5,0.99
67.5,52.5,2.2
67.5,57.5,1.49
67.5,62.5,1.45
67.5,67.5,0.05
67.5,72.5,0.05
67.5,77.5,-0.81
67.5,82.5,-1.93
67.5,87.5,-2.73
67.5,92.5,-1.47
67.5,97.5,-2.28
67.5,102.5,-2.23
67.5,107.5,-1.97
67.5,112.5,-2.17
67.5,117.5,-3.09
67.5,122.5,-1.92
67.5,127.5,-2.89
67.5,132.5,-4.05
67.5,137.5,-4.22
67.5,142.5,-3.47
67.5,147.5,-2.99
67.5,152.5,-3.57
67.5,157.5,-2.64
67.5,162.5,-3.01
67.5,167.5,-2.48
67.5,172.5,-2.39
67.5,177.5,-0.83
67.5,-177.5,-1.5
67.5,-172.5,-0.34
67.5,-167.5,-0.54
67.5,-162.5,2
67.5,-157.5,2.82
67.5,-152.5,4.31
67.5,-147.5,3.74
67.5,-142.5,4.34
67.5,-137.5,5.37
67.5,-132.5,5.9
67.5,-127.5,6.19
67.5,-122.5,5.93
67.5,-117.5,5.19
67.5,-112.5,5.04
67.5,-107.5,7.12
67.5,-102.5,7.34
67.5,-97.5,8.08
67.5,-92.5,7.27
67.5,-87.5,8.57
67.5,-82.5,8.08
67.5,-77.5,8.69
67.5,-72.5,8.64
67.5,-67.5,6.25
67.5,-62.5,4.91
67.5,-57.5,3.45
67.5,-52.5,0.69
67.5,-47.5,1.64
67.5,-42.5,1.7
67.5,-37.5,0.72
67.5,-32.5,-0.41
67.5,-27.5,-0.01
67.5,-22.5,-1.14
67.5,-17.5,-0.75
67.5,-12.5,-0.05
67.5,-7.5,0.2
67.5,-2.5,0.56
62.5,2.5,0.94
62.5,7.5,0.92
62.5,12.5,0.91
62.5,17.5,0.88
62.5,22.5,1.74
62.5,27.5,1.91
62.5,32.5,2.14
62.5,37.5,3.25
62.5,42.5,3.84
62.5,47.5,4.24
62.5,52.5,4.05
62.5,57.5,4.14
62.5,62.5,3.65
62.5,67.5,1.84
62.5,72.5,0.89
62.5,77.5,0.36
62.5,82.5,-0.1
62.5,87.5,-0.44
62.5,92.5,-0.1
62.5,97.5,0.47
62.5,102.5,-0.42
62.5,107.5,0.62
62.5,112.5,0.02
62.5,117.5,-0.63
62.5,122.5,-0.67
62.5,127.5,-0.41
62.5,132.5,-0.14
62.5,137.5,-2.51
62.5,142.5,-2.45
62.5,147.5,-2.14
62.5,152.5,-1.13
62.5,157.5,-0.67
62.5,162.5,-0.56
62.5,167.5,0.32
62.5,172.5,0.01
62.5,177.5,0.35
62.5,-177.5,0.28
62.5,-172.5,0.13
62.5,-167.5,0.15
62.5,-162.5,0.9
62.5,-157.5,2.03
62.5,-152.5,1.16
62.5,-147.5,1.17
62.5,-142.5,2.14
62.5,-137.5,3.77
62.5,-132.5,3.82
62.5,-127.5,4.16
62.5,-122.5,4.69
62.5,-117.5,3.95
62.5,-112.5,3.85
62.5,-107.5,4.38
62.5,-102.5,5.97
62.5,-97.5,7.06
62.5,-92.5,3.01
62.5,-87.5,1.37
62.5,-82.5,1.4
62.5,-77.5,1.27
62.5,-72.5,2.47
62.5,-67.5,2
62.5,-62.5,0.62
62.5,-57.5,1.09
62.5,-52.5,1.45
62.5,-47.5,2.4
62.5,-42.5,0.77
62.5,-37.5,0.71
62.5,-32.5,0.77
62.5,-27.5,0.64
62.5,-22.5,0.46
62.5,-17.5,0.75
62.5,-12.5,0.74
62.5,-7.5,0.66
62.5,-2.5,0.71
57.5,2.5,1.14
57.5,7.5,1.24
57.5,12.5,1.16
57.5,17.5,1.4
57.5,22.5,1.73
57.5,27.5,2.02
57.5,32.5,2.89
57.5,37.5,4.02
57.5,42.5,4.54
57.5,47.5,5.57
57.5,52.5,5.72
57.5,57.5,5.41
57.5,62.5,4.68
57.5,67.5,4.2
57.5,72.5,3.3
57.5,77.5,1.9
57.5,82.5,1.35
57.5,87.5,2.44
57.5,92.5,3.25
57.5,97.5,3.46
57.5,102.5,2.88
57.5,107.5,3.18
57.5,112.5,2.51
57.5,117.5,2.39
57.5,122.5,1.26
57.5,127.5,1.01
57.5,132.5,-0.29
57.5,137.5,-0.44
57.5,142.5,-0.57
57.5,147.5,-0.31
57.5,152.5,-0.19
57.5,157.5,-0.19
57.5,162.5,-0.03
57.5,167.5,0.48
57.5,172.5,0.46
57.5,177.5,0.25
57.5,-177.5,0.12
57.5,-172.5,0.05
57.5,-167.5,0.08
57.5,-162.5,0.47
57.5,-157.5,0.58
57.5,-152.5,0.54
57.5,-147.5,0.43
57.5,-142.5,0.25
57.5,-137.5,0.54
57.5,-132.5,0.93
57.5,-127.5,3.4
57.5,-122.5,3.02
57.5,-117.5,3.64
57.5,-112.5,2.74
57.5,-107.5,2.89
57.5,-102.5,2.99
57.5,-97.5,5.29
57.5,-92.5,2.9
57.5,-87.5,1.63
57.5,-82.5,0.8
57.5,-77.5,2.23
57.5,-72.5,3.66
57.5,-67.5,2.65
57.5,-62.5,1.72
57.5,-57.5,0.86
